DROPSTATE:main1
LOCAL:outsize,size_t,b'\xa8;\x9a$;\x7f\x00\x00'
LOCAL:insize,size_t,b'\x01\x00\x00\x00\x00\x00\x00\x00'
LOCAL:page_size,size_t,b'\x00\x10\x00\x00\x00\x00\x00\x00'
LOCAL:ok,bool,b'\x01'
LOCAL:c,int,b'\x91\xc9x$'
LOCAL:argind,int,b';\x7f\x00\x00'
LOCAL:out_dev,dev_t,b'\x01\x00\x00\x00\xff\x7f\x00\x00'
LOCAL:out_ino,ino_t,b'\xc8a\x9a$;\x7f\x00\x00'
LOCAL:check_redirection,bool,b'\x01'
LOCAL:have_read_stdin,bool,b'\x00'
LOCAL:stat_buf,struct stat,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00 e\x9a$;\x7f\x00\x00\xd0\xab\x83\xdf\xff\x7f\x00\x00\xc0\xab\x83\xdf\xff\x7f\x00\x00.N=\xf6\x00\x00\x00\x00:\r@\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x000\xad\x83\xdf\xff\x7f\x00\x00\xa8\xd1<$;\x7f\x00\x00X6\x9a$;\x7f\x00\x00\xc8a\x9a$;\x7f\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00}\x92@\x00\x00\x00\x00\x00'
LOCAL:number,bool,b'\x00'
LOCAL:number_nonblank,bool,b'\x00'
LOCAL:squeeze_blank,bool,b'\x00'
LOCAL:show_ends,bool,b'\x00'
LOCAL:show_nonprinting,bool,b'\x00'
LOCAL:show_tabs,bool,b'\x00'
LOCAL:file_open_mode,int,b'\x00\x00\x00\x00'
GLOBAL:input_desc,int,b'\x00\x00\x00\x00'
GLOBAL:line_buf,char[],b'                 0\t\x00'
GLOBAL:line_num_print,char *,b' '
GLOBAL:line_num_start,char *,b'0'
GLOBAL:line_num_end,char *,b'0'
GLOBAL:newlines2,int,b'\x00\x00\x00\x00'
DROPSTATE:main2
LOCAL:outsize,size_t,b'\xa8;\x9a$;\x7f\x00\x00'
LOCAL:insize,size_t,b'\x01\x00\x00\x00\x00\x00\x00\x00'
LOCAL:page_size,size_t,b'\x00\x10\x00\x00\x00\x00\x00\x00'
LOCAL:ok,bool,b'\x01'
LOCAL:c,int,b'\x91\xc9x$'
LOCAL:argind,int,b';\x7f\x00\x00'
LOCAL:out_dev,dev_t,b'\x01\x00\x00\x00\xff\x7f\x00\x00'
LOCAL:out_ino,ino_t,b'\xc8a\x9a$;\x7f\x00\x00'
LOCAL:check_redirection,bool,b'\x01'
LOCAL:have_read_stdin,bool,b'\x00'
